fid,id,@id,amenity,capacity,fee,hgv,motorcar,parking,@geometry,capacity_i,access,bicycle,fixme,network,operator,operator_w,operator_1,website,amperage,authentica,brand,covered,manufactur,source,voltage,wikimedia_,disused_am,name,surface,socket_typ,brand_wiki,opening_ho,motorcycle,payment_ap,maxstay,parking_sp,area,capacity_c,ref_enel_c,ref_enel_s,ref,payment_co,payment_cr,socket,socket_cha,socket_c_1,socket_t_1,socket_t_2,socket_t_3,socket_t_4,branch,short_name,start_date,check_date,parking_fe,capacity_d,orientatio,addr_city,addr_postc,addr_stree,contact_we,socket_tes,socket_t_5,socket_t_6,socket_t_7,descriptio,addr_count,brand_wi_1,not_operat,charging_s,addr_subur,addr_house,addr_provi,note,office,phone_IT,authenti_1,authenti_2,level,authenti_3,indoor,socket_t_8,panoramax,socket_sca,bus,scooter,socket_t_9,authenti_4,authenti_5,addr_str_1,name_de,name_it,payment_ca,payment__1,payment_me,payment_qr,fuel_elect,motor_vehi,wheelchair,authenti_6,car,website_en,disused,socket_t10,socket_t11,power,panoramax_,socket_sch,socket_s_1,truck,payment_rf,payment_sm,panorama_1,panorama_2,socket_rop,frequency,socket_dev,socket_t12,charging_1,position,note_it,contact_ph,socket_t13,protection,mapillary,survey_dat,payment_el,charge,socket_t14,outdoor,socket_t15,socket_t16,descript_1,man_made,service,socket_t17,service_bi,natural,ref_EU_EVS,source_dat,operator_2,socket_t18,socket_t19,authenti_7,authenti_8,socket_t20,socket_t21,socket_t22,comment,image,name_en,not_brand_,payment_mo,nohousenum,operator_t,power_supp,output,video,bollard,bicycle_pa,maxstay_co,network_wi,toilets_wh,panorama_3,panorama_4,socket_d_1,socket_s_2,socket_t23,closed,unsigned_r,network_we,addr,addr_descr,colour,location,service__1,vehicle,socket_ccs,survey_d_1,socket_t24,note_en,socket_bos,socket_shi,socket_yam,email,phone,socket_c_2,socket_c_3,alt_name,noname,payment__2,capacity_m,capacity_1,payment_pa,payment_sa,socket_d_2,service__2,operator_3,charging_2,moped,socket_s_3,operator_e,owner,owner_wiki,name_es,name_fr,photo,picture,payment_ac,ele,payment_am,payment_ch,payment__3,payment__4,payment_de,payment_di,payment__5,payment_ep,payment__6,payment_gi,payment_jc,payment_ma,payment__7,payment_no,payment_te,payment_un,payment_vi,payment__8,payment__9,app_apple,app_google,payment_10,payment_11,payment_en,wikipedia,url,payment_ph,socket_b_1,socket_unk,payment,Tipo Zona,Tipo Zona String
726,node/9921454893,node/9921454893,charging_station,"2",no,,no,,,2,yes,yes,,,Comune di Pradamano,,,https://www.clorofilla-bike.com/,,yes,,,,,"230",,,,,,,24/7,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,f361afc8-0677-4af0-a491-9baa1e3ad9a0,,,no,,,,,,,,,,,,,,,,,,,,,43cd1c55-139f-464c-8244-790a411034b6,"2",230 V,no,,,f5008033-508e-4c50-b7ba-03dc4cc37ec8,68e4d9cf-0637-484e-858c-5e2fd215b4ed,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d74c6054-6dae-4dfe-a6c6-d198a01f057a,1bdeb022-f25d-4364-a292-e37fbfd8694c,5 V,16 A,230 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,Urbano discontinuo
727,node/9921938419,node/9921938419,charging_station,"3",,,,,,3,,,,,Plenitude,Q96240525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,Urbano discontinuo
728,node/9921942919,node/9921942919,charging_station,"3",,,,,,3,,,,,Plenitude,Q96240525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,Urbano discontinuo
729,node/9925412165,node/9925412165,charging_station,"1",,,,,,1,,,,,Enel X Way,Q116116836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,Urbano discontinuo
730,node/9926488930,node/9926488930,charging_station,"4",yes,,no,,,4,customers,yes,,,Refugio Tremalzo,,,,,,ebike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tuesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231,Pascoli
731,node/9931219895,node/9931219895,charging_station,"4",no,,no,,,4,yes,yes,,,Gemeinde Schlanders,Q67770877,,,,yes,bike-energy,,,,,,,E-Bike-Ladestation Schlanders Dorfplatz,,,Q67770877,24/7,no,,,,,,,,,,,,,,,,,,,,,2022-03-10,,,,,,,,,,,,"bike-energy Ladestation POINT P4B – Anschluß für 4 E-Bikes. Das passende Ladekabel für Ihr E-Bike können Sie ganz einfach vor Ort ausleihen, im lokalen Sportartikelhandel erwerben oder direkt auf www.bike-energy.com bestellen.",,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4559",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,Urbano discontinuo
732,node/9931219896,node/9931219896,charging_station,"4",no,,no,,,4,yes,yes,,,Gemeinde Schlanders,Q67770877,,,,yes,bike-energy,,,,,,,E-Bike-Ladestation Schlanders Damml,,,Q67770877,24/7,no,,,,,,,,,,,,,,,,,,,,,2022-03-10,,,,,,,,,,,,"bike-energy Ladestation POINT P4B – Anschluß für 4 E-Bikes. Das passende Ladekabel für Ihr E-Bike können Sie ganz einfach vor Ort ausleihen, im lokalen Sportartikelhandel erwerben oder direkt auf www.bike-energy.com bestellen.",,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4562",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,Urbano discontinuo
733,node/9931219897,node/9931219897,charging_station,"4",no,,no,,,4,yes,yes,,,Gemeinde Schlanders,Q67770877,,,,yes,bike-energy,,,,,,,E-Bike-Ladestation Schlanders Kulturhaus,,,Q67770877,24/7,no,,,,,,,,,,,,,,,,,,,,,2020-06-30,,,,,,,,,,,,"bike-energy Ladestation POINT P4B – Anschluß für 4 E-Bikes. Das passende Ladekabel für Ihr E-Bike können Sie ganz einfach vor Ort ausleihen, im lokalen Sportartikelhandel erwerben oder direkt auf www.bike-energy.com bestellen.",,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1884",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,Urbano discontinuo
734,node/9931661692,node/9931661692,charging_station,"1",yes,,yes,,,1,,,,,,,,,,,,,,,,,,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,Urbano discontinuo
735,node/9933841131,node/9933841131,charging_station,"2",yes,,,,,2,yes,,,,Ionity,,,https://ionity.eu/,,,Ionity,,,,,,,IONITY Ceriale Sud,,,Q42717773,,,,,,,,,,,,,,,,,,"1",350 kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242,Coltivazioni complesse
